variant,frame,fr_source,horizon,n_obs,alpha,beta,beta_se_nw,t_nw,t_hh,pvalue_nw,r2_in,r2_oos,cw_stat,cw_pvalue,p_neg,p_neg_ci_lo,p_neg_ci_hi,p_below_5pct,rho_ar1,beta_stambaugh
bi_allequity_pct,long_run,primary,h_12m,837,0.11194295635213036,-0.014162090246601332,0.00911325356905186,-1.5540103366261049,-1.3344212943297453,0.12056086927282146,0.01799447831694978,0.0022233704760168393,1.1350302548316065,0.12818132103385782,0.3273809523809524,0.2619047619047619,0.39285714285714285,0.38095238095238093,0.9863823493295076,-0.013572450272995551
bi_allequity_pct,long_run,primary,h_36m,813,0.10384496988495202,-0.010494840489083054,0.006760295620601961,-1.5524233078062577,-1.2595982414345954,0.12095109827972336,0.03488960426375354,0.025656832714941236,3.4664807342592936,0.00026365976189024476,0.15432098765432098,0.09876543209876543,0.20987654320987653,0.25308641975308643,0.9858332820153458,-0.010345582983881812
bi_allequity_pct,long_run,primary,h_60m,789,0.1002016109427421,-0.012528042527193677,0.0067135823903138004,-1.8660741462365673,-1.5659031487426223,0.062402767677695696,0.08086865284611677,0.05743194870076884,5.033862453380419,2.4034731849198465e-07,0.189873417721519,0.13291139240506328,0.25648734177215177,0.3227848101265823,0.9860660979845793,-0.01236737556284115
bi_allequity_pct,long_run,primary,h_120m,729,0.09363466028379769,-0.017635551186794145,0.004832285719719305,-3.649525754412251,-4.355070854637373,0.0002815307654646233,0.3308626291690103,0.2061966554214424,7.241876544046552,2.212674488077937e-13,0.0,0.0,0.0,0.2191780821917808,0.9851510752562328,-0.01752892986683673
bi_allequity_pct,long_run,robustness_spxtr_only,h_60m,401,0.11771161736412544,-0.07654570597648364,0.029645556126026398,-2.582029686037251,-2.227714925160196,0.01017771952116992,0.30895565464570773,-0.2232637798622954,3.074159506826559,0.001055482674120256,0.4125,0.3,0.525,0.5625,0.9827033516206319,-0.07569374162123303
bi_allequity_pct,long_run,robustness_spxtr_only,h_120m,341,0.10309864431137476,-0.07727968773026841,0.011195537060888841,-6.902722692977535,-9.394564963270561,2.5201678299260323e-11,0.6651886712485412,-0.23097124600421215,3.156800976863087,0.0007975508830200262,0.0,0.0,0.0,0.058823529411764705,0.980177545423099,-0.07669590663664964
bi_allequity_pct,long_run,robustness_shiller_only,h_60m,788,0.06650584884124916,-0.0017286145211628443,0.00787819240002814,-0.21941765742566402,-0.18608698277857696,0.8263816836037029,0.0013619311967004721,0.0016567293275011608,0.9603199324083351,0.16844711065045193,0.310126582278481,0.23417721518987342,0.3860759493670886,0.45569620253164556,0.9860492163870046,-0.0015808706536835655
bi_allequity_pct,long_run,robustness_shiller_only,h_120m,728,0.05804059493035983,-0.01076896484720078,0.005694044118479697,-1.8912682485635677,-3.377055037383052,0.05898637698002465,0.10415947183939189,0.05010921828217407,3.9073353336282275,4.6659799001202984e-05,0.15862068965517243,0.10344827586206896,0.2206896551724138,0.3931034482758621,0.9851463999294771,-0.010659349026317792
bi_allequity_pct,current_regime,primary,h_12m,837,0.1199821261420125,-0.03559983636026463,0.015353953693600108,-2.3186103768896666,-1.8923448923621362,0.020656821414887144,0.061477582063773406,0.07237768042539672,5.463866772604456,2.3293661666201615e-08,0.1497005988023952,0.09580838323353294,0.20359281437125748,0.25149700598802394,0.9339068887557775,-0.035301315091796064
bi_allequity_pct,current_regime,primary,h_36m,813,0.11031201885651527,-0.024740695623602028,0.011244240704375902,-2.2002993598290486,-1.9908271148614645,0.028066943712844857,0.10642813467952528,0.11922215031679928,5.771428744394994,3.930109793159886e-09,0.1728395061728395,0.11728395061728394,0.2345679012345679,0.20987654320987653,0.9342967070809642,-0.024639546178052942
