series_name,n_obs,adf_stat,adf_pvalue,adf_lags,kpss_stat,kpss_pvalue,kpss_lags,pp_stat,pp_pvalue,za_stat,za_pvalue,za_break_date,conclusion
z1_netfed,162,-2.3057879474329406,0.17010803803786062,13,0.1949787294275753,0.1,8,-1.6062492119984828,0.48045360281958255,-5.536297968913242,0.0036754093539320266,,conflicting
z2_m2_yoy,675,-5.257069195001409,6.715695851290361e-06,20,0.2759263142668329,0.1,16,-4.116298634694083,0.0009101578775977795,-6.40846548226986,0.00040075587669589343,,stationary
z3_banklend_yoy,809,-4.793224648680201,5.603247422547424e-05,17,0.4619848884589871,0.05043754807802281,17,-4.291429321948313,0.000459640421603445,-5.5964658899152555,0.0028774964877530916,,stationary
z4_dxy_inv,545,-1.8308812291549381,0.36524134581532736,0,0.3924612273558654,0.08040464338109249,15,-2.2344485993920564,0.19398094907045144,-2.9625641290781393,0.9219220176632278,,conflicting
z5_funding_stress,365,-2.66449819411868,0.08038566686508242,9,0.3463298516570867,0.1,11,-6.572269565094149,7.881919144996187e-09,-3.4253165054259607,0.7259551981804206,,conflicting
LC_FULL,160,-1.838990582967372,0.36128287697403905,2,0.29805034539927455,0.1,8,-1.9999296293315083,0.2866039551067656,-3.921450634454081,0.3995876571236592,,conflicting
LC_TIER2,363,-3.164303659732616,0.022146154778598732,11,0.2745843851057967,0.1,11,-3.5057248316166234,0.007841279758296738,-3.8682393284072867,0.43421134121953286,,stationary
LC_DEEP,543,-4.297446665156418,0.00044875670428305687,17,0.220303544483406,0.1,15,-3.6172464214814077,0.0054397452006421715,-4.843095535429025,0.04636044365049337,,stationary
