,z1_netfed,z2_m2_yoy,z3_banklend_yoy,z4_dxy_inv,z5_funding_stress
z1_netfed,1.0,0.30156233031105684,-0.0010096968314127657,0.3073875251574923,-0.29135823200521743
z2_m2_yoy,0.30156233031105684,1.0,-0.1792507187455464,0.11249575947843594,0.041792632928504096
z3_banklend_yoy,-0.0010096968314127657,-0.1792507187455464,1.0,-0.17804538564445252,0.214612918516582
z4_dxy_inv,0.3073875251574923,0.11249575947843594,-0.17804538564445252,1.0,0.04798972504008169
z5_funding_stress,-0.29135823200521743,0.041792632928504096,0.214612918516582,0.04798972504008169,1.0
