,bi_allequity_pct,bi_wilshire_pct,bi_spx_proxy,cape,qratio,ey_deficit,mean_reversion,crestmont
1871-01-31,,,,,,,116.81828830178816,12.743485280978627
1871-02-28,,,,,,,114.88887375175067,12.51579172421803
1871-03-31,,,,,,,115.97870782521596,12.61715949673962
1871-04-30,,,,,,,123.76643746239642,13.445878719499259
1871-05-31,,,,,,,129.85068867241867,14.08748701461533
1871-06-30,,,,,,,130.81044247995297,14.172114687897992
1871-07-31,,,,,,,128.36792384443518,13.888384541670185
1871-08-31,,,,,,,132.07574961502894,14.269911242353347
1871-09-30,,,,,,,130.3268157649456,14.061606615116686
1871-10-31,,,,,,,121.69400715473888,13.11213232828642
1871-11-30,,,,,,,123.01964993420226,13.236756829295512
1871-12-31,,,,,,,122.83567214744691,13.1988040803192
1872-01-31,,,,,,,125.945435999281,13.514359949007721
1872-02-29,,,,,,,126.46372997458668,13.551332667318373
1872-03-31,,,,,,,128.67553860196077,13.76939905868908
1872-04-30,,,,,,,129.374276933964,13.825151511276227
1872-05-31,,,,,,,129.374276933964,13.806159026940204
1872-06-30,,,,,,,129.0609048033314,13.753797108537592
1872-07-31,,,,,,,130.2073902519841,13.856913771985692
1872-08-31,,,,,,,127.72919950153722,13.574506271131769
1872-09-30,,,,,,,124.53245200321453,13.21658834888445
1872-10-31,,,,,,,127.83550505643798,13.548502249717748
1872-11-30,,,,,,,123.62985923226293,13.084771500970332
1872-12-31,,,,,,,128.48949235571305,13.580424753721525
1873-01-31,,,,,,,129.50321616128082,13.668764666913482
1873-02-28,,,,,,,127.70024031559718,13.459948521467027
1873-03-31,,,,,,,126.7083937888741,13.337058067794205
1873-04-30,,,,,,,124.9726623671087,13.136287668428151
1873-05-31,,,,,,,127.98263045292916,13.434194525680851
1873-06-30,,,,,,,130.03309252378358,13.630678167564648
1873-07-31,,,,,,,129.77198189622578,13.584619604909307
1873-08-31,,,,,,,129.77198189622578,13.56595755445391
1873-09-30,,,,,,,119.84977804902944,12.511509866856336
